"Dato (Date)","Dokumenttitel (Title of the document)"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 21 - færdselslære"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 22 - maskineskrivning"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 23 - motorlære"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 24 - datalære"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 25 - håndarbejde"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 26 - hjemkundskab"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 27 - formning"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 28 - p-fag"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 29 - samtidsorientering"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 3 - fysik/kemi"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 30 - uddannelses- og erhvervsorientering"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 31 - klasselærerfunktionen"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 32 - orienteringsfag"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 33 - økonomi"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 34 - virksomhedslære"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 35 - specialundervisning"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 4 - kristendomskundskab/religion"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 5 - historie"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 6 - geografi"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 7 - biologi"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 8 - musik"
1974-01-01,"Undervisningsvejledning for folkeskolen (udkast) 9 - 1.-2. klasse"
1974-04-24,"Bekendtgørelse om højere forberedelseseksamen og om undervisningen m.v. på kursus til højere forberedelseseksamen (229)"
1974-06-14,"Lov om ændring af lov om folkeskolen"
1974-06-19,"Lov om ændring af lov om folkeskolen"
1975-01-23,"Bekendtgørelse om ændring af bekendtgørelse om undervisningen i gymnasiet og om fordringerne ved eksamensopgivelserne til studentereksamen (19)"
1975-05-28,"Lov om ændring af lov om uddannelse af børnehave- og fritidspædagoger"
1975-06-26,"Lov om folkeskolen - 26. juni 1975"
1975-10-31,"Bekendtgørelse om uddannelse af lærere til folkeskolen"
1976-01-01,"Undervisningsvejledning for folkeskolen 01 - dansk"
1976-01-01,"Undervisningsvejledning for folkeskolen 02 - fremmedsprog"
1976-01-01,"Undervisningsvejledning for folkeskolen 03 - undervisningsmidler"
1976-01-01,"Undervisningsvejledning for folkeskolen 04 - 1.-2. klassetrin"
1976-01-01,"Undervisningsvejledning for folkeskolen 05 - idræt"
1976-01-01,"Undervisningsvejledning for folkeskolen 06 - formning"
1976-01-01,"Undervisningsvejledning for folkeskolen 07 - sløjd"
1976-01-01,"Undervisningsvejledning for folkeskolen 08 - håndarbejde"
1976-01-01,"Undervisningsvejledning for folkeskolen 09 - hjemkundskab"
1976-01-01,"Undervisningsvejledning for folkeskolen 10 - musik"
1976-01-01,"Undervisningsvejledning for folkeskolen 11 - geografi"
1976-01-01,"Undervisningsvejledning for folkeskolen 12 - biologi"
1976-01-01,"Undervisningsvejledning for folkeskolen 13 - kristendomskundskab"
1976-01-01,"Undervisningsvejledning for folkeskolen 14 - fysikkemi"
1976-01-01,"Undervisningsvejledning for folkeskolen 15 - regning/matematik"
1976-01-01,"Undervisningsvejledning for folkeskolen 16 - børnehaveklasser"
1976-01-01,"Undervisningsvejledning for folkeskolen 17 - færdselslære"
1976-01-01,"Undervisningsvejledning for folkeskolen 18 - fremmed religioner og andre livsanskuelser"
1976-01-01,"Undervisningsvejledning for folkeskolen 19 - uddannelses- og erhvervsorientering"
1976-01-01,"Undervisningsvejledning for folkeskolen 20 - sundhedslære"
1976-01-01,"Undervisningsvejledning for folkeskolen 21 - maskineskrivning"
1976-01-01,"Undervisningsvejledning for folkeskolen 22 - fotolære"
1976-01-01,"Undervisningsvejledning for folkeskolen 24 - filmkundskab"
1976-01-01,"Undervisningsvejledning for folkeskolen 25 - motorlære"
1976-01-01,"Undervisningsvejledning for folkeskolen 26 - arbejdskendskab"
1976-01-01,"Undervisningsvejledning for folkeskolen 27 - elektronik"
1976-01-01,"Undervisningsvejledning for folkeskolen 28 - barnepleje"
1976-04-01,"Bekendtgørelse om ændring af bekendtgørelse om undervisningen i gymnasiet og om fordringerne ved eksamensopgivelserne til studentereksamen (186)"
1976-04-13,"Bekendtgørelse om ændring af bekendtgørelse om eksamensordningen og karaktergivningen m.v. ved studentereksamen og i gymnasiet (213)"
1977-01-01,"Undervisningsvejledning for folkeskolen 01 - klasselærerfunktionen"
1977-01-01,"Undervisningsvejledning for folkeskolen 02 - skole elev og forældre"
1977-01-01,"Undervisningsvejledning for folkeskolen 03 - samtidsorientering"
1977-01-01,"Undervisningsvejledning for folkeskolen 04 - historie"
1977-01-01,"Undervisningsvejledning for folkeskolen 05 - sygeundervisning"
1977-05-09,"Bekendtgørelse om ændring af bekendtgørelse om højere forberedelseseksamen og om undervisningen m.v. på kursus til højere forberedelseseksamen (186)"
1977-06-08,"Lov om ændring af lov om folkeskolen"
1977-06-08,"Lov om ændring af lov om gymnasieskoler og studenterkursus (244)"
1977-06-28,"Bekendtgørelse af lov om gymnasieskoler og studenterkursus (370)"
1977-12-15,"Bekendtgørelse om ændring af bekendtgørelse om højere forberedelseseksamen og om undervisningen m.v. på kursus til højere forberedelseseksamen (663)"
1977-12-15,"Bekendtgørelse om ændring af bekendtgørelse om undervisningen i gymnasiet og om fordringerne ved eksamensopgivelserne til studentereksamen (662)"
1978-06-08,"Lov om ændring af lov om folkeskolen"
1978-11-06,"Bekendtgørelse om ikrafttræden af §4 stk. 4, i lov om gymnasieskoler og studenterkursus (561)"
1979-01-01,"Undervisningsvejledning for folkeskolen 01 - fremmedsprogede elever"
1979-01-01,"Undervisningsvejledning for folkeskolen 02 - specialundervisning"
1979-03-02,"Bekendtgørlse af forskrifter for undervisningsministeriets register til brug ved en tjenestetidsundersøgelse for folkeskolens lærere i foråret 1979"
1979-04-06,"Bekendtgørelse om ændring af bekendtgørelse om uddannelse af lærere til folkeskolen"
1979-04-09,"Bekendtgørelse om optagelse på seminarier der uddanner lærere til folkeskolen"
1979-05-23,"Lov om ændring af lov om folkeskolen - 23. maj 1979"
1979-05-23,"Lov om ændring af lov om gymnasieskoler og studenterkursus - 23. maj 1979"
1979-06-08,"Lov om ændring af lov om folkeskolen - 8. juni 1979"
1979-08-30,"Bekendtgørelse om ændring af bekendtgørelse om uddannelse af lærere til folkeskolen"
1979-09-26,"Bekendtgørelse om optagelse på børnehavn- og fritidspædagogseminarierne"
1979-09-28,"Bekendtgørelse af lov om statsstøtte til visse private seminarier"
1979-10-08,"Bekendtgørelse om ændring af bekendtgørelse om folkeskolens afsluttende prøver m.v."
1979-10-10,"Bekendtgørelse om ikrafttræden af §17, stk. 2, i lov om gymnasieskoler og studenterkursus (419)"
1979-10-10,"Bekendtgørelse om ændring af bekendtgørelse om studenterkursus og om studentereksamen for privatister"
1979-11-26,"Bekendtgørelse om lærerråd lærerforsamlinger og fællesudvalg ved private gymnasieskoler m.v."
1979-11-26,"Bekendtgørelse om lærerråd lærerforsamlinger og fællesudvalg ved statens gymnasieskoler m.v."
1979-11-27,"Bekendtgørelse om hvilke kommune og hvilken amtskommune udgifterne til folkeskolen endeligt påhviler"
1979-12-14,"Bekendtgørelse om skolenævn ved amtskommunale folkeskoler"
1979-12-28,"Lov om ændring om lov styrelsen af kommunernes skolevæsen og af virksomhed efter lov om fritidsundervisning m.v."
1980-01-01,"Undervisningsvejledning for folkeskolen 01 - specialpædagogisk bestand"
1980-01-01,"Undervisningsvejledning for folkeskolen 02 - ikke-fagdelt undervisning"
1980-01-01,"Undervisningsvejledning for folkeskolen 03 - specialpædagogisk bistand"
1980-06-04,"Lov om ændring af lov om folkeskolen"
1980-08-20,"Bekendtgørelse af lov om folkeskolen"
1981-01-01,"Undervisningsvejledning for folkeskolen 01 - historie"
1982-01-01,"Undervisningsvejledning for folkeskolen 01 - specialpædagogisk bistand"
1982-01-01,"Undervisningsvejledning for folkeskolen 02 - specialpædagogisk bistand"
1982-01-01,"Undervisningsvejledning for folkeskolen 03 - specialpædagogisk bistand"
1983-06-08,"Lov om ændring af lov om folkebiblioteker m. v. og af lov om folkeskolen"
1983-07-04,"Bekendtgørelse af lov om prøveforberedende enkeltfagsundervisning m.v. for voksne (320)"
1984-01-01,"Undervisningsvejledning for folkeskolen 01 - histroie"
1984-01-01,"Undervisningsvejledning for folkeskolen 02 - dansk"
1984-04-01,"Undervisningsvejledning for fransk på HF (VEJ nr. 22030)"
1984-05-25,"Bekendtgørelse om studentereksamen i gymnasiet (265)"
1984-05-25,"Bekendtgørelse om undervisningen m.v. i gymnasiet (268)"
1984-06-06,"Lov om ændring af lov om folkeskolen. Bevarelse af små skoler, skolenedlæggelse m.v."
1984-06-06,"Lov om ændring af lov om folkeskolen. Skolefritidsordninger"
1984-06-06,"Lov om ændring af lov om gymnasieskoler og studenterkursus (289)"
1985-01-01,"Undervisningsvejledning for folkeskolen 01 - datalære"
1985-06-06,"Lov om ændring af lov om folkeskolen m. m"
1985-06-06,"Lov om ændring af lov om uddannelse af lærere til folkeskolen (263)"
1985-07-04,"Bekendtgørelse af Lov om uddannelse af lærere til folkeskolen (334)"
1985-10-01,"Undervisningsvejledning på spansk på HF (VEJ nr. 22101)"
1986-04-23,"Lov om ændring af forskellige uddannelses-, tilskuds- og styrelseslove m. m. (Ændring af folkeskoleloven i § 22.)"
1986-04-23,"Lov om ændring af forskellige uddannelses-, tilskuds- og styrelseslove m.m."
1986-06-11,"Bekendtgørelse om uddannelse af lærere til folkeskolen (369)"
1986-06-27,"Bekendtgørelse af lov om amtskommuners overtagelse af visse statsskoler og -kursus m.v. (438)"
1986-08-01,"Undervisningsvejledning for russisk på HF (VEJ 22156)"
1986-08-19,"Bekendtgørelse om uddannelse af børnehavepædagoger og fritidspædagoger"
1986-08-21,"Bekendtgørelse, af lov om folkeekolen"
1986-10-01,"Vejledning vedrørende 1. årsvurderingen i børnehavepædagog og fritidspædagoguddannelserne"
1986-11-10,"Bekendtgørelse af lov om uddannelse af børnehave- og fritidspædagoger"
1987-01-01,"Undervisningsvejledning for folkeskolen 01 - Hvordan samarbejder man på skolen"
1987-01-01,"Undervisningsvejledning for folkeskolen 02 - samtidsorientering"
1987-01-21,"Bekendtgørelse om optagelse på børnehave- og fritidspædagogseminarierne"
1987-03-24,"Cirkulære af 24. marts 1987 om fremmøde i børnehavepædagog- og fritidspædagoguddannelserne"
1987-03-25,"Cirkulære af 25. marts 1987 om praktikundervisningen som led i børnehavepædagoguddannelsen og fritidspædagoguddannelsen"
1987-04-22,"Lov om ændring af lov om folkeskolen"
1987-06-10,"Lov om ændring af lov om gymnasieskoler og studenterkursus (ændring af gymnasiets struktur)(370)"
1987-09-10,"Bekendtgørelse om gymnasiet  (gymnasiebekendtgørelsen) (589)"
1987-09-22,"Bekendtgørelse af lov om højere forberedelseseksamen (608)"
1987-09-23,"Bekendtgørelse om uddannelse af børnehavepædagoger og fritidspædagoger"
1987-11-02,"Bekendtgørelse om fagene til højere forberedelseseksamen (hf-fagbekendtgørelsen) (688)"
1987-11-02,"Bekendtgørelse om højere forberedelseseksamen (hf-bekendtgørelsen) (689)"
1987-11-04,"Bekendtgørelse om fagene i gymnasiet  (gymnasiefagbekendtgørelsen) (694)"
1987-11-18,"Bekendtgørelse af lov om gymnasieskoler og studenterkursus (715)"
1988-01-01,"Undervisningsvejledning for folkeskolen 01 - musik"
1988-01-01,"Undervisningsvejledning for folkeskolen 02 - undervisningsmidler"
1988-03-15,"Bekendtgørelse om fordeling af ansøgere til de 2-årige hf-kurser til højere forberedelseseksamen (178)"
1988-03-21,"Bekendtgørelse om ændring af bekendtgørelse om fagene m.v. i gymnasiet (261)"
1988-03-21,"Fra billedkunst til tysk : bekendtgørelse og vejledende retningslinier. - Kbh. : Undervisningsministeriet, Direktoratet for Gymnasieskolerne og HF, 1988. - 2 bind"
1988-06-14,"Bekendtgørelse om ændring af bekendtgørelse fagene m.v. i gymnasiet (320)"
1988-12-21,"Lov om ændring af lov om folkeskolen"
1989-01-01,"Undervisningsvejledning for folkeskolen 01 - kristendomskundskab"
1989-01-01,"Undervisningsvejledning for folkeskolen 02 - fysik/kemi"
1989-01-17,"Bekendtgørelse om studenterkursus (52)"
1989-02-01,"Bekendtgørelse af lov om folkeskolen"
1989-04-12,"Bekendtgørelse om ændring af bekendtgørelse om gymnasiet, studenterkursus og højere forberedelseseksamen (236)"
1989-05-24,"Lov om ændring af lov om folkeskolen (Forenkling af styrelsesregler m.v.)"
1989-06-20,"Bekendtgørelse af lov om folkeskolen"
1989-12-01,"Bekendtgørelse om ændring af bekendtgørelse om gymnasiet (753)"
1989-12-01,"Bekendtgørelse om ændring af bekendtgørelse om højere forberedelseseksamen (752)"
1989-12-01,"Bekendtgørelse om ændring af bekendtgørelse om studenterkursus (751)"
1989-12-01,"Bekendtgørelse om ændring af bekendtgørelse om undervisningen m.v. i gymnasiet (750)"
1990-01-01,"Undervisningsvejledning for folkeskolen 01 - dansk og edb"
1990-01-01,"Undervisningsvejledning for folkeskolen 02 - regningmatematik og edb"
1990-01-01,"Undervisningsvejledning for folkeskolen 03 - hjemkundskab og edb"
1990-01-24,"Bekendtgørelse om ændring af bekendtgørelse om studenterkursus (41)"
1990-02-06,"Bekendtgørelse om gymnasiet (gymnasiebekendtgørelsen) (76)"
1990-03-09,"Bekendtgørelse om ændring af bekendtgørelse om gymnasiet (176)"
1990-03-09,"Bekendtgørelse om ændring af bekendtgørelse om studenterkursus (177)"
1990-03-23,"Bekendtgørelse om fagene m.v. i gymnasiet (gymnasiefagbekendtgørelsen) (207)"
1990-05-07,"Bekendtgørelse om studenterkursus (328)"
1990-05-16,"Lov om adgangsregulering ved videregående uddannelser"
1990-06-13,"Lov om gymnasiet m.v. (gymnasieloven) (431)"
1990-06-13,"Lov om kursus til højere forberedelseseksamen og om studieforberedende enkeltfagsundervisning for voksne m.v. (433)"
1990-06-13,"Lov om ændring af lov om folkeskolen (Afbureaukratisering, deregulering m.v., herunder regler om frit skolevalg)"
1990-07-10,"Bekendtgørelse af lov om folkeskolen"
1990-11-21,"Bekendtgørelse om adgangsregulering ved videregående uddannelser  (Optagelsesbekendtgørelsen) "
1991-01-01,"Undervisningsvejledning for folkeskolen 00 - integration af edb – en håndbog"
1991-01-01,"Undervisningsvejledning for folkeskolen 01 - sundheds- og seksualundervisning"
1991-01-01,"Undervisningsvejledning for folkeskolen 02 - geografi"
1991-01-01,"Undervisningsvejledning for folkeskolen 03 - geografi og edb"
1991-01-01,"Undervisningsvejledning for folkeskolen 04 - billedkunst"
1991-01-01,"Undervisningsvejledning for folkeskolen 05 - tegnsprog"
1991-02-27,"Bekendtgørelse om optagelse på kursus til højere forberedelseseksamen og til studieforberedende enkeltfagsundervisning for voksne (hf-optagelsesbekendtgørelsen) (117)"
1991-04-08,"Bekendtgørelse om ændring af bekendtgørelse om fagene m.v. i gymnasiet (230)"
1991-05-06,"Forslag til lov om uddannelse af pædagoger"
1991-05-07,"Bekendtgørelse om enkeltfagsstudentereksamen og om studenterkursus (studenterkursusbekendtgørelsen) (295)"
1991-05-07,"Bekendtgørelse om gymnasiet (gymnasiebekendtgørelsen) (294)"
1991-05-07,"Bekendtgørelse om kursus til højere forberedelseseksamen og om studieforberedende enkeltfagsundervisning (hf-bekendtgørelsen) (296)"
1991-05-17,"Bekendtgørelse om studentereksamen og  højere forberedelseseksamen (studenter- og hf-eksamensbekendtgørelse) (312)"
1991-05-23,"Betænkning over forslag til lov om uddannelse af lærere til folkeskolen"
1991-06-06,"Lov om uddannelse af lærere til folkeskolen (410)"
1991-06-06,"Lov om uddannelse af pædagoger"
1991-06-06,"Lov om ændring af lov om folkeskolen (Søskendemoderation i skolefritidsordninger)"
1991-07-03,"Bekendtgørelse af lov om folkeskolen"
1991-07-16,"Bekendtgørelse om ændring af bekendtgørelse om gymnasiet (gymnasiebekendtgørelsen) (555)"
1992-01-01,"Undervisningsvejledning for folkeskolen 01 - samtidsorientering og edb"
1992-01-01,"Undervisningsvejledning for folkeskolen 02 - fysik/kemi og edb"
1992-01-01,"Undervisningsvejledning for folkeskolen 03 - håndarbejde og edb"
1992-01-01,"Undervisningsvejledning for folkeskolen 04 - fremmedsprog og edb"
1992-04-15,"Bekendtgørelse om uddannelse af lærere til folkeskolen (261)"
1992-05-20,"Lov om ændring af lov om tjenestemænd i staten, folkeskolen og folkekirken, lov om åremålsansættelse af tjenestemænd og ansatte på tjenestemandslignende vilkår, lov om folkeskolen og lov om frikommuner"
1992-06-02,"Bekendtgørelse af lov om gymnasiet m.v. (gymnasieloven) (443)"
1992-06-02,"Bekendtgørelse af lov om kursus til højere forberedelseseksamen og studieforberedende enkeltfagsundervisning for voksne m.v. (HF-loven) (442)"
1992-06-15,"Bekendtgørelse om uddannelse af pædagoger "
1992-06-15,"Bekendtgørelse om ændring af bekendtgørelse om adgangsregulering ved videregående uddannelser "
1992-07-29,"Bekendtgørelse af lov om folkeskolen - 29. juli 1992"
1993-01-01,"Undervisningsvejledning for folkeskolen 01 - skolebiblioteket og edb"
1993-01-01,"Undervisningsvejledning for folkeskolen 02 - musik og edb"
1993-01-01,"Undervisningsvejledning for folkeskolen 03 - billedkunst og edb"
1993-01-01,"Undervisningsvejledning for folkeskolen 04 - historie og edb"
1993-01-01,"Undervisningsvejledning for folkeskolen 05 - edb"
1993-05-19,"Bekendtgørelse om gymnasiet, studenterkursus og enkeltfagsstudentereksamen (gymnasiebekendtgørelsen) (319)"
1993-06-09,"Lov om ændring af lov om folkeskolen (Hjemmel til at yde hel eller delvis friplads til skolefritidsordninger samt udskydelse af redegørelse om styrelsen af kommunernes skolevæsen)"
1993-06-23,"Bekendtgørelse af lov om gymnasiet m.v. (gymnasieloven) (531)"
1993-06-23,"Bekendtgørelse af lov om kursus til højere forberedelseseksamen og om studieforberedende enkeltfagsundervisning for voksne m.v. (532)"
1993-06-30,"Lov om folkeskolen - 30. juni 1993"
1993-06-30,"Lov om åben uddannelse (erhvervsrettet voksenuddannelse) m.v."
1994-01-01,"Undervisningsvejledning for folkeskolen 01 - sløjd og edb"
1994-01-01,"Undervisningsvejledning for folkeskolen 02 - idræt og edb"
1994-01-03,"Bekendtgørelse om undervisningskompetence som betingelse for ansættelse i gymnasiet og ved kursus til højere forberedelseseksamen "
1994-01-03,"Cirkulære om fribefordring af skoleelever m.fl. "
1994-02-10,"Bekendtgørelse om elevers/kursisters betaling for visse undervisningsmidler i gymnasiet, på studenterkursus og på kursus til højere forberedelseseksamen"
1994-02-14,"Bekendtgørelse om fritagelse for undervisning og eksamen i forbindelse med studentereksamen og højere forberedelseseksamen "
1994-02-21,"Cirkulære om tidsbegrænset ansættelse af lærere uden undervisningskompetence ved gymnasieskoler, studenterkurser og kurser til højere forberedelseseksamen "
1994-03-11,"Bekendtgørelse om studentereksamen og højere forberedelseseksamen (studenter- og hf-eksamensbekendtgørelsen) (192)"
1994-03-15,"Bekendtgørelse om ændring af bekendtgørelse om uddannelse af pædagoger "
1994-03-21,"Lov om ændring af lov om folkeskolen (Forøgelse af timetallet for den obligatoriske undervisning på 8. og 9. klassetrin) (Folkeskoleloven)"
1994-03-21,"Lov om ændring af lov om friskoler og private grundskoler m.v. "
1994-04-05,"Cirkulære om ophævelse af cirkulære om at anvendelse af trampolinredskaber i tilknytning til folkeskolens idrætsundervisning bringes til ophør "
1994-04-22,"Bekendtgørelse om hvilken kommune og hvilken amtskommune udgiften til folkeskolens undervisning m.v. endeligt påhviler "
1994-04-25,"Bekendtgørelse af lov om folkeskolen"
1994-04-26,"Bekendtgørelse af lov om friskoler og private grundskoler m.v. "
1994-05-20,"Bekendtgørelse om regionale udvalg for læreres efteruddannelse "
1994-05-31,"Bekendtgørelse om ændring af bekendtgørelse om uddannelse til håndarbejdslærer "
1994-06-06,"Bekendtgørelse om formålet med undervisningen i folkeskolens fag og obligatoriske emner med angivelse af centrale kundskabs- og færdighedsområder "
1994-06-27,"Bekendtgørelse om valgfag i henhold til folkeskolelovens § 9, stk. 6 "
1994-06-29,"Bekendtgørelse om muligheden for fravigelse af den ugentlige undervisningstid i folkeskolens 1.-7. klasse "
1994-06-30,"Bekendtgørelse om ændring af bekendtgørelse om uddannelse af pædagoger "
1994-07-01,"Bekendtgørelse om ophævelse af visse bekendtgørelser, cirkulærer og forskrifter udstedt i medfør af folkeskoleloven "
1994-08-16,"Cirkulære om kommunalt takstbeløb i 1995 i henhold til folkeskolelovens § 49, stk. 2. "
1994-08-29,"Bekendtgørelse om undervisning i folkeskolen af børn fra det tidligere Jugoslavien med midlertidig opholdstilladelse "
1994-09-23,"Skrivelse om delegation af kompetence til at bevilge tjenestefrihed "
1994-10-06,"Bekendtgørelse om begyndelsestidspunkt for sommerferien i folkeskolen i skoleåret 1995/96 "
1994-10-06,"Vejledning om placering af ferier og fridage i skoleårene 1995/96, 1996/97 og 1997/98 "
1994-12-14,"Bekendtgørelse om tilskud m.v. til friskoler og private grundskoler m.v. "
1994-12-21,"Lov om ændring af lov om folkeskolen (Skolevejledning, hjemmel til at fastsætte særlige kvalifikationskrav samt ændrede betalingsregler for"
1994-12-21,"Lov om ændring af lov om uddannelse af pædagoger"
1994-12-21,"Lov om ændring af lov om uddannelse til håndarbejdslærer (Uddannelsen forlænges fra 21/2 til 3 år) "
1995-01-01,"Undervisningsvejledning for folkeskolen 01 - dansk"
1995-01-01,"Undervisningsvejledning for folkeskolen 02 - engelsk"
1995-01-01,"Undervisningsvejledning for folkeskolen 03 - kristendomskundskab"
1995-01-01,"Undervisningsvejledning for folkeskolen 04 - histroie"
1995-01-01,"Undervisningsvejledning for folkeskolen 05 - samfundsfag"
1995-01-01,"Undervisningsvejledning for folkeskolen 06 - idræt"
1995-01-01,"Undervisningsvejledning for folkeskolen 07 - musik"
1995-01-01,"Undervisningsvejledning for folkeskolen 08 - billedkunst"
1995-01-01,"Undervisningsvejledning for folkeskolen 09 - håndarbejde"
1995-01-01,"Undervisningsvejledning for folkeskolen 10 - sløjd"
1995-01-01,"Undervisningsvejledning for folkeskolen 11 - hjemkundskab"
1995-01-01,"Undervisningsvejledning for folkeskolen 12 - matematik"
1995-01-01,"Undervisningsvejledning for folkeskolen 13 - natur/teknik"
1995-01-01,"Undervisningsvejledning for folkeskolen 14 - geografi"
1995-01-01,"Undervisningsvejledning for folkeskolen 15 - biologi"
1995-01-01,"Undervisningsvejledning for folkeskolen 16 - fysik/kemi"
1995-01-01,"Undervisningsvejledning for folkeskolen 17 - tysk"
1995-01-01,"Undervisningsvejledning for folkeskolen 18 - fransk"
1995-01-01,"Undervisningsvejledning for folkeskolen 19 - dansk som andetsprog"
1995-01-01,"Undervisningsvejledning for folkeskolen 20 - færdselslære"
1995-01-01,"Undervisningsvejledning for folkeskolen 21 - sundheds og seksualundervisning"
1995-01-01,"Undervisningsvejledning for folkeskolen 22 - uddannelses-, erhvervs- og arbejdsmarkedsorientering"
1995-01-01,"Undervisningsvejledning for folkeskolen 23 - tekstbehandling"
1995-01-01,"Undervisningsvejledning for folkeskolen 24 - teknologi"
1995-01-01,"Undervisningsvejledning for folkeskolen 25 - medier"
1995-01-01,"Undervisningsvejledning for folkeskolen 26 - fotolære"
1995-01-01,"Undervisningsvejledning for folkeskolen 27 - filmkundskab"
1995-01-01,"Undervisningsvejledning for folkeskolen 28 - drama"
1995-01-01,"Undervisningsvejledning for folkeskolen 29 - arbejdskundskab"
1995-01-01,"Undervisningsvejledning for folkeskolen 30 - latin"
1995-01-01,"Undervisningsvejledning for folkeskolen 31 - hverdagstysk hverdagsfransk spansk"
1995-01-04,"Cirkulære om udpegning, godkendelse og uddannelse af studievejledere ved institutioner, der tilbyder gymnasie- og hf-undervisning "
1995-01-10,"Bekendtgørelse om befordring af elever i folkeskolen"
1995-01-10,"Bekendtgørelse om tilsyn med folkeskolens elever i skoletiden "
1995-01-10,"Vejledning om skolepatruljers oprettelse og funktion"
1995-01-10,"Vejledning om tilsyn med folkeskolens elever i skoletiden "
1995-01-12,"Bekendtgørelse om foranstaltninger til fremme af god orden i folkeskolen "
1995-01-17,"Bekendtgørelse af lov om folkeskolen"
1995-01-31,"Bekendtgørelse af lov om uddannelse af pædagoger"
1995-01-31,"Bekendtgørelse om ændring af bekendtgørelse om uddannelse af pædagoger "
1995-02-01,"Cirkulære om praktiske foranstaltninger i forbindelse med afviklingen af de skriftlige prøver ved studenter- og højere forberedelseseksamen "
1995-02-27,"Bekendtgørelse om adgang, indskrivning og orlov m.v. ved videregående uddannelser "
1995-03-13,"Bekendtgørelse om skolebiblioteker i folkeskolen"
1995-03-31,"Bekendtgørelse om ændring af bekendtgørelse om betaling for elevers ophold på offentlige kostafdelinger ved gymnasieskoler "
1995-05-24,"Bekendtgørelse om ændring af bekendtgørelse om uddannelse af pædagoger "
1995-05-30,"Bekendtgørelse om ændring af bekendtgørelse om uddannelse af lærere til folkeskolen (346)"
1995-06-14,"Lov om ændring af lov om gymnasiet m.v. og lov om kursus til højere forberedelseseksamen og om studieforberedende enkeltfagsundervisning for voksne m.v. (444)"
1995-06-22,"Bekendtgørelse af lov om friskoler og private grundskoler m.v. "
1995-06-23,"Bekendtgørelse af lov om gymnasiet m.v. (536)"
1995-06-23,"Bekendtgørelse af lov om kursus til højere forberedelseseksamen og studieforberedende enkeltfagsundervisning for voksne m.v. (537)"
1995-07-13,"Bekendtgørelse om ændring af bekendtgørelse om studentereksamen og om højere forberedelseseksamen (Studenter- og hf-eksamensbekendtgørelsen) (608)"
1995-07-15,"Bekendtgørelse om kursus til højere forberedelseseksamen og om studieforberedende enkeltfagsundervisning (hf-bekendtgørelsen) (605)"
1995-08-07,"Bekendtgørelse om ændring af bekendtgørelse om formålet med undervisningen i folkeskolens fag og obligatoriske emner med angivelse af centrale kundskabs- og færdighedsområder "
1995-10-26,"Vejledning om placering af ferier og fridage i skoleårene 1996/97, 1997/98 og 1998/99 "
1995-11-14,"Bekendtgørelse om ændring af bekendtgørelse om gymnasiet, studenterkursus og enkeltfagsstudentereksamen (gymnasiebekendtgørelsen) (853)"
1995-12-15,"Bekendtgørelse om tilskud mv. til private gymnasieskoler, studenterkurser og kurser til højere forberedelseseksamen mv. "
1996-04-24,"Lov om ændring af uddannelseslovene på seminarieområdet"
1996-04-24,"Lov om ændring af uddannelseslovene på seminarieområdet (312)"
1996-05-22,"Lov nr. 415 af 22. maj 1996 om ændring af lov om uddannelse af pædagoger"
1996-05-22,"Lov om ændring af lov om folkeskolen (Indsats for tosprogede børn, regelsanering m.v.)"
1996-06-18,"Bekendtgørelse af lov om folkeskolen"
1996-06-20,"Bekendtgørelse af lov om friskoler og private grundskoler m.v. "
1996-06-20,"Bekendtgørelse af lov om gymnasiet m.v. (564)"
1996-06-20,"Bekendtgørelse om lov om kursus til højere forberedelseseksamen og studieforberedende enkeltfagsundervisning for voksne m.v. (563)"
1996-06-20,"Bekendtgørelse om projektopgaven"
1996-06-21,"Bekendtgørelse om folkeskolens skolevejledningsordning "
1996-09-03,"Bekendtgørelse af lov om uddannelse af lærere til folkeskolen (795)"
1996-09-03,"Bekendtgørelse nr. 796 af 3. september 1996 af lov om uddannelse af pædagoger"
1996-09-12,"Cirkulære om undervisning i forbindelse med seksuelt overførbare sygdomme "
1996-09-19,"Bekendtgørelse om tilskud til gymnasial undervisning til internationale eksaminer i udlandet "
