"Dato (Date)","Dokumenttitel (Title of the document)"
1893-12-07,"Bekendtgørelse om Forandringer i Anordning af 16de Juni 1882 om Undervisningen i de lærde Skoler"
1894-03-30,"Lov om Seminarier og Prøver for Lærere og Lærerinder i Folkeskolen m.m."
1894-05-10,"Cirkulære om Afholdelse af Skolelærereksamen efter den ved Lov af 30te Marts 1894 fastsatte Ordning m.m."
1894-05-25,"Bekendtgørelse om Privatseminariernes Anerkendelse som eksamensberettigede og om Tilskud af Statskassen til saadanne Seminarier"
1894-06-08,"Bekendtgørelse om Optagelsesprøven, Undervisningen og de afsluttende Prøver ved Seminarierne"
1894-06-28,"Cirkulære (til Privatseminarierne) ang. de Fordringer, der ville blive stillede til et Privatseminarium, for at dette kan opnaa Anerkendelse i Henhold til Lov af 30te Marts 1984 §7"
1895-03-01,"Anordning angaaende den almindelig Forberedelsesexamen"
1895-03-12,"Bekendtgørelse angaaende den almindelig Forberedelsesexamen"
1895-08-24,"Bekendtgørelse vedrørende Undervisningen i Modersmaalets Sproglære"
1895-08-31,"Bekendtgørelse om Karaktergivningen m.v. ved Afgangsexamen for studerende og ved de lærde Skolers 4de Klasses Hovedexamen"
1896-01-15,"Bekendtgørelse angaaende Fordringer i Gang ved den afsluttende Lærereprøve"
1896-06-25,"Bekendtgørelse angaaende nogle Forandringer i Lov af 1ste Marts 1854 om Ordningen af Skole- og Undervisningsvæsenet paa Færøerne"
1897-04-01,"Lov angaaende en forhøjet Ligning til Holbæk, Vejle og Ringkjøbing Amters Skolefonds"
1898-02-04,"Lov om Sammensætningen af Fredersberg Kommunes Skolekommision"
1898-06-22,"Bekendtgørelse angaaende de Eksamensgebyrer, der ville være at erlægge ved de lærde Statsskoler af Privatister, der indstille sig til 4de Klasses Hovedeksamen"
1898-08-19,"Bekendtgørelse angaaende nærmere Bestemmelse af Reglerne for private Dimission til de lærde Skolers Eksaminer og til almindelig Forveredelseseksamen ved Eksamenskommissionen for Privatister"
1899-03-24,"Lov om forskellige Forhold vedrørende Folkeskolen"
1899-10-13,"Bekendtgørelse om nogle Regler for Indmeldelse af Disciple og privat Dimission til Afgangseksamen for studerende"
1899-11-30,"Haandbog i Gymnastik: Gymnastikkommissionen af 30. November 1889"
1900-01-06,"Plan for Sangundervisningen i Realskolerne"
1900-01-16,"Plan for Sangundervisningen i de offentlige lærde Skoler"
1900-04-06,"Cirkulære fra Kirke- og Undervisningsministeriet af 6. April 1900 om undervisningsplaner for de offentlige folkeskoler. (Det Sthyrske Cirkulære efter V. Sthyr)"
1900-07-05,"Cirk. ang. Betingelserne for Optagelse på Seminarierne"
1900-12-19,"Bekendtgørelse om Fordringerne for Provatisterne ved 4de Klasses Hovedeksamen og Afgangseksamen for studerende"
1901-03-16,"Anordning om en forandret Indretning af Skoleembedseksaminerne under det filosofiske Fakultet"
1901-03-26,"Bekendtgørelse indeholdende nærmere Bestemmelser til Gennemførelse af kgl. Anordning af 16de Marts 1901 om en forandret Indretning af Skoleembedseksaminerne under det filosofiske Fakultet"
1901-03-29,"Lov om pensionsberettiget Ansættelse af Lærerne og Lærerinderne ved de kongelige Døvstummeinstitutter og det kongelige Blindeinstitut"
1901-09-25,"Reglement for Skoleraadene ved de lærde Statsskoler"
1901-10-30,"Bekendtgørelse angaaende en Tilægseksamen i Matematik og Naturlære for dem, der have bestaaet Afgangseksamen for studerende i sproglig-historisk Retning"
1901-11-17,"Bekendtgørelse om Forandringer i kongelig Anordning af 26de Sepemter 1890 om Indretningen af de juridiske Eksaminer ved Universitetets rets- og statsvidenskabelige Fakultet"
1901-12-14,"Bekendtgørelse indeholdende nærmere Bestemmelser til Gennemførekse af kgl. Anordning af 6te December 1901 om en forandret Indretning af Skoleembedseksamen i Naturhistorie og Geografi under det matematisk-naturvidenskabelige Fakultet"
1902-01-14,"Bekendtgørelse om naar Ret til Lønning og til Pension indtræder og bortfalder for Lærere og Lærerinder i Folkeskolen"
1902-01-31,"Lov om Lønninger og Efterløn for Gymnastiklærere ved Statens lærde Skoler"
1902-01-31,"Lov om Pensionstillæg til Lærere og Lærerinder i Folkeskolen samt til Lærerenker"
1902-03-07,"Lov om Lønbestemmelser for Lærere og Lærerinder i Folkeskolen paa Færøerne"
1902-04-03,"Bekendtgørelse om Fordringerne for Privatister ved 4de Klasses Hovedeksamen og Afgangseksamen for studerende"
1902-05-02,"Lov om Tilskud til private Realskoler"
1902-05-23,"Lov om et Tillæg til de i Lov af 24de Marts 1899 om forskellige Forhold vedrørende Folkeskolen § 23 indeholdte Bestemmelser om Tjenestealderberegningen"
1902-05-23,"Lov om Lønninger for Universitetskvæsturen og Sorø Akademis Kontor i Sorø samt de ved Sorø Akademis Skovvæsen ansatte Embedsmænd og Betjente"
1902-05-23,"Lov om Skolebespisning"
1902-06-28,"Bekendtgørelse om hvor vidt Virksomhed som Pogelærerinde eller som Biskolelærer ved senere fast Ansættelse i henholdsvis et Forskolelærerinde- og et fast Enelærer-embed kan medtages ved Tjenestealderberegningen."
1902-07-07,"Bekendtgørelse angaaende Oprettelsen af en Pensionskasse for Lærerpersonalet ved private Realskoler"
1902-12-31,"Bekendtgørelse om Forandring i Anordningen af 16de Juni 1882 og allerhøjeste Resolotion af 30te November 1893 om Undervisningen i de lærde Skoler"
1903-01-08,"Bekendtgørelse om Undervisningen i Historie i de lærde Skolers V. og VI. Klasse"
1903-02-03,"Bekendtgørelse om Tilskud af Statskassen til Instruktionskursus i Gymnastik for Lærere"
1903-04-24,"Lov om højere Almenskoler m.m."
1903-06-19,"Anordning angaaende Optagelsesprøven i Mellemskolens 1ste Klasse"
1903-06-19,"Bekendtgørelse om Statsskolernes Benævnelse"
1903-06-25,"Bekendtgørelse angaaende Skolepengene m. m. i Statens højere Almenskoler og Sorø Skole og Opdagelsesanstalt"
1903-07-31,"Anordning om Undervisningen i Statens Fællesskoler for Drenge og Piger"
1903-08-10,"Reglement for Lærerraad ved Statens Skolelærerseminarier"
1903-10-15,"Bekendtgørelse om Afskaffelse af latinsk Stil ved 4de Klasses Hovedeksamen"
1903-10-23,"Bekendtgørelse angaaende Undervisning i Historie og Samfundslære til almindelig Forberedelseseksamen"
1903-11-10,"Lov om en Realskole i Akureyri"
1903-11-13,"Lov om Forandring i Lov af 1. April 1871 om Undervisningen i de lærde Skoler i Danmark"
1903-11-17,"Lov om Lønninger for Overlærerinder og Lærerinder ved Statens Almenskoler og Sorø Skole og Opdragelsesanstalt"
1903-11-18,"Lov om Lønninger for Forstanderne og Lærerne ved Statsseminarierne"
1903-12-22,"Bekendtgørelse om Prøven i Sang og Musik ved den afsluttende Prøve for Lærere og Lærerinder i Folkeskolen"
1904-02-16,"Bekendtgørelse om Forandringerne i Naturlære ved Afgangseksamen for studerende af den sproglig-historiske Retning og ved almindelig Forberedelseseksamen"
1904-03-24,"Lov om Ændringer i og Tillæg til Lov af 24de Marts 1899 om forskellige Forhold vedrørende Folkeskolen"
1904-03-29,"Lov om forskellige Forhold vedrørende Folkeskolen"
1904-03-29,"Lov om Tilskud til en Pensionskasse for Lærerpersonalet ved private fuldstændige højere Almenskoler"
1904-03-29,"Lov om Ændringer i og Tillæg til Lov af 24de Marts 1899 om forskellige Forhold vedrørende Folkeskolen"
1904-04-01,"Bekendtgørelse angaaende Undervisningen i Mellemskolen"
1904-04-15,"Bekendtgørelse angaaende Undervisningen i Matematik til almidelig Forberedelseseksamen, fjerde Klasses Hovedeksamen og Afgangseksmanen for studerende"
1904-04-16,"Reglement for Lærerraad ved Statens Døvstummeanstalter"
1904-04-21,"Bekendtgørelse vedrørende Tjenestealderberegningen for Lærere og Lærerinder i Folkeskolen"
1904-04-23,"Anordning angaaende Aarsprøver ved Statens højere Almensskoler og Sorø Skole og Opdragelsesanstalt"
1904-07-01,"Bekendtgørelse om Undervisningen i Mellemskolen"
1904-09-09,"Bekendtgørelse angaaende foreløbigt Reglement for den højere Almenskole i Reykjavik"
1904-10-26,"Bekendtgørelse om Indskrænkning i Forandringerne i Religion ved Borgerskoleeksamen"
1904-12-30,"Anordning om Ændring i allerhøjeste Anordning af 25de Juni 1875 angaaende Kvinders Adgang til at erhverve akademisk Borgerret ved Kjøbenhavns Universitet"
1905-04-01,"Lov om Kirke- og Skolevæsen i Grønland"
1905-04-06,"Bekendtgørelse for fleraarigt Gymnastikkursus for Studerende"
1905-07-06,"Anordning om en Prøve i Pædagogik og Undervisningsfærdighed for Lærere og Lærerinder ved Statens højere Almenskoler"
1905-09-16,"Bekendtgørelse angaaende Vedtægter for de private fuldstændige højere Almenskolers Pensionskasse"
1905-11-10,"Lov angaaende en forhøjet Ligning til gl. Skanderborg og Ringkjøbing Amters Skolefond"
1905-11-11,"Bekendtgørelse om Reglement for Realskolen i Akureyri"
1906-01-16,"Bekendtgørelse angaaende Prøven i Pædagogik og Undervisningsfærdighed for Lærere og Lærerinder ved Statens højere Almenskoler"
1906-03-30,"Lov om Lønninger for de ved de kongelige Blindeinstitut med tilhørende Forskole ansatte Lærere m. m."
1906-03-30,"Lov om Lønninger for de ved de kongelige Døvstummeanstalter ansatte Lærere m. m."
1906-08-03,"Anordning angaaende Censuren og Karaktergivningen ved de højere Almenskolers forskellige Eksaminer"
1906-08-03,"Anordning angaaende Fordringerne ved og Eksamensopgivelserne til Mellemskoleeksamen m. m."
1906-08-03,"Anordning angaaende Aarsprøver ved Statens højere Almenskoler og Sorø Skole og Opdragelsesanstalt"
1906-10-01,"Bekendtgørelse angaaende Eksamensordningen ved de højere Almenskolers forskellige Eksaminer"
1906-11-16,"Anordning angaaende Undervisningen i Realklassen"
1906-11-23,"Anordning om en forandret Indberetning af Skoleembedseksamen i Mathematik, Fysik og tilhørende Bifag under det mathematisk-naturvidenskabelige Fakultet"
1906-12-01,"Anordning angaaende Undervisningen i Gymnasiet"
1906-12-04,"Bekendtgørelse angaaende en Ændring i Ministeriets Bekendtgørelse af 1ste Oktober 1906 angaaende Eksamensordningen ved de højere Almenskoler forskellige Eksaminer"
1906-12-04,"Bekendtgørelse angaaende Undervisningen i Gymnasiet"
1906-12-04,"Ministerielt cirkulære angående undervisningen i gymnasiet med udkast til anordning om studentereksamen"
1907-01-15,"Bekendtgørelse indeholdende nærmere Bestemmelser til Gennmførelse af den kgl. Anordning af 23de November 1906 om en forandret Indretning af Skoleembedseksamen i Matematik og Fysik under det matematisk-naturvidenskabelige Fakultet"
1907-01-31,"Undervisningsplan for Forskoleseminarierne"
1907-02-01,"Lov vedrørende beregning af Tjenestealder for Lærerinder i den offentlige Forskole"
1907-02-07,"Anordning angaaende Latinprøven ved Optagelse i Gymnasiets klassisk-sproglige og nysproglige Linies 1ste Klasse"
1907-02-11,"Anordning angaaende Optagelsesprøven til Gymnasiets 1ste Klasse"
1907-02-28,"Bekendtgørelse angaaende Optagelse i Gymnasiets 1ste Klasse af Elever, der have bestaaet almidelig Forberedelseseksamen"
1907-04-01,"Plan for Sangundervisningen i Gymnasiet"
1907-04-16,"Anordning angaaende Mellemskoleeksamen for Privatister"
1907-04-18,"Bekendtgørelse angaaende Mellemskoleeksamen for Privatister"
1907-04-27,"Anordning angaaende Fordringerne ved og Eksamensopgivelserne til Realeksamen m. m."
